id,ansa,ansb,ansc,ansd,answer,category,question,timelimit
2212,经济复苏,改变地球命运,世界和平,全球一体化,B,0,哥本哈根气候变化峰会自12月7日开幕以来，就被冠以“有史以来最重要的会议”、“____的会议”等各种重量级头衔。,15
2213,尽到义务,不负责任,爱护环境,无知无畏,D,0,10年前乱丢电池在主观上还可能是无知，现在还要这样做就完全是____。,15
2214,基本国策,政策,方法,工作,A,0,中国政府坚定不移地贯彻执行环境保护这项___。,15
2216,甲醛,漂白粉,洗衣粉,消毒液,A,0,市场上销售的海参、鱿鱼、虾仁、贝肉等水发水产品如看起来特别亮、特别丰满，有的颜色出现过白、手感较韧、口感较硬，细嚼时有刺激感，则可能使用了以下什么药品浸泡？___,15
2217,3个月,6个月,12个月,18个月,B,0,干制水产品是采用干燥或者脱水方法除去水产品中的水分，或配以调味、焙烤、拉松等其他工艺制成的一类水产加工品。干制水产品的保质期一般为多长时间？____,15
2218,无悬浮物,没有沉淀物,清晰透明,油色发暗,D,0,优质食用油不应有的特征是？___,15
2219,-5,-10,-18,-12,C,0,食品经冻结并维持在哪个____℃以下贮藏，几乎可以阻止所有微生物的生长和比较有效的抑制酶的活性。,15
2220,储藏库被过度风干的鸭胸肉,单袋净含量不足的川香鸡柳,操作工安全事故,被微生物污染的冰鲜九块鸡产品,B,0,下列哪种问题是____违反食品法案例?,15
2221,床头灯,火腿肠,安全帽,油漆,B,0,在下列产品的标识上，哪种产品必须注明生产日期和安全使用期或失效日期：____,15
2224,乳和乳制品,蔬菜,豆类和豆制品,水,A,0,钙的最好食物来源是___。,15
2225,油溶性,水溶性,有机溶剂,脂肪,B,0,维生素是维持肌体健康所必需的一类低分子有机化合物，通常分为脂溶性和____两大类。,15
2227,3\\/5,1\\/2,4\\/5,2\\/3,D,0,水是人体不可缺少的组成成分，约占成人体重的____，用以维持人体正常的生理活动。,15
2228,高蛋白,高热量,高纤维,低蛋白,C,0,多食含____的食物，可预防大肠癌、痔疮等疾病，因其起到通便清火的作用，老年人宜多食用。,15
2229,少渣饮食,冷流质饮食,无糖饮食,低盐饮食,B,0,____适用于咽喉部手术及口腔疾病，如拔牙后、扁桃体摘除后等。,15
2231,苹果、苹果,香蕉、香蕉,西瓜、西瓜,梨、梨,D,0,若同时食用羊肉和____，____中的一些酶可将羊肉中的酵素分解，阻碍消化造成消化不良、腹胀肚痛等症状。,15
2232,维生素A,维生素,维生素,维生素K,C,0,当虾肉与富含____的食物共同食用时会产生有剧毒的三价砷，三价砷即为砒霜。,15
2235,木糖醇,白糖,红糖,蜂蜜,C,0,____为粗制品，含非糖物质及有机酸较多，特别是有机酸达到一定浓度时，可使牛奶中的蛋白质发生凝聚和沉淀，营养价值大大降低。,15
2236,葱与蜂蜜,葱与红糖水,葱与白糖水,葱与牛奶,A,0,___一同食用后，会发生不利于人体的生化反应或产生有毒物质，刺激胃肠道而导致腹泻。,15
2238,痢疾,腹涨,便秘,腹泻,B,0,栗子虽能健脾养胃却较难消化，____患者应该忌食。,15
2239,土霉素,红霉素,白霉素,黄连素,B,0,服用____期间，若食用牛奶、豆制品、骨头汤、黑木耳、海带、紫菜、黄花菜等富含钙、磷、镁的食物，会延缓药效或减少药物的吸收，降低药物的抑菌作用。,15
2240,四环素,白霉素,孢菌素,磺胺类药物,A,0,婴幼儿不能用牛奶送服___类药物，因为这样会破坏食物的营养降低药物的抑菌作用。,15
2241,酱油,花椒面,味精,醋,D,0,铜器与____不宜长久接触，否则会产生铜绿。用生有铜绿的铜器盛放食品或烹炒菜肴易中毒,15
2242,英文,中文,法文,德文,B,0,在中国境内市场销售的进口食品，必须使用下列哪种标识：____。,15
2243,支付医疗费,治疗期间的护理费,因误工减少的收入等费用,以上都包括,D,0,某消费者在食用某经营者出售的食品后出现了胃肠不适，并到医院就医花费了一些费用，消费者有权利要求经营者支付的赔偿项目包括：____。,15
2244,优质酱油粘稠性较大,摇动瓶子不挂瓶的酱油为优质酱油,优质酱油呈红褐色或棕色,优质酱油，有酱香味,B,0,以下关于优质酱油的错误说法是：____。,15
2245,周身紫红色,血管中充满着黑红色的凝固血液,腿内部的大血管有黑红色的血栓,以上都是,D,0,死猪肉的特征是____。,15
2248,乳白色或稍带微黄色,白色中稍带青色,呈浅粉红色,显著的黄绿色,A,0,以感官鉴别鲜奶色泽时，优质鲜奶的颜色应该是___。,15
2249,钙、镁,钙、碘,铁,碘,B,0,海产鱼类食物中含有较为丰富的无机盐是____。,15
2251,脂肪,优质蛋白质,碳水化合物,维生素,B,0,谷类、薯类是我国膳食能量的主要来源，但其主要的缺陷是缺乏____。,15
2253,四川民歌,江苏民歌,蒙古民歌,青海民歌,D,0,《在那远远的地方》是哪里的民歌____,15
2256,琥珀酸,苹果酸,柠檬酸,单宁酸,D,0,下面哪种酸，人在品尝时不是酸味的____,15
2257,干燥处,透风处,日光照射处,卧室内,C,0,土豆不宜存放在什么地方____,15
2258,灯比原来亮了,灯比原来暗了,跟原来一样,以上都不对,A,0,小华家的电灯丝断了，他把灯泡晃了晃使灯丝又搭上了，再用的时候会发现：___,15
2259,3种,4种,5种,6种,A,0,中国铁路车票一般分为几种___,15
2260,红茶,绿茶,乌龙茶,花茶,C,0,以下哪一类茶是半发酵茶____,15
2261,印度西部,大西洋西部,印度洋西部,太平洋南部,B,0,西印度群岛位于____,15
2262,ENIAC,EDVAC,EDSAC,UNIVAC,A,1,世界上发明的第一台电子数字计算机是_____ ,15
2264,Neumann,Eckert,Turing,Wilkes,D,1,___设计并生成了世界上首次实现的存储程序计算机  ,15
2265,牛顿,帕斯卡,比尔盖茨,冯诺依曼,D,1,"提出\\""存储程序和采用二进制系统\\""这个设计思想的科学家是_____ ",15
2266,软盘、硬盘、光盘、内存,硬盘、光盘、内存、软盘,内存、软盘、硬盘、光盘,内存、硬盘、光盘、软盘,D,1,按存取速度从快到慢，顺序正确的是：_____ ,15
2267,127．0．0．1,163．0．1,130．169．163,100．200．300．400,A,1,下列可以正确表示一个IP地址的是____ ,15
2269,POP3,SMTP,HTTP,FTP,A,1,请选择接收Email所用的网络协议_____ ,15
2270,ARP,RARP,DNS,WINS,C,1,由于IP地址难于记忆，人们采用域名来表示网上的主机，域名与IP地址的对应关系是用_____协议进行转换。 ,15
2272,谭浩强,Dennis.M.Ritchie,Alan,John,C,1,C语言的创始人是,15
